Entité financire programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6236;Catalogues et imprimés;822;Voirie communale et routes;011;Ch.  caract. gén.;3000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6281;Concours divers (cotisations..);33;Action culturelle;011;Ch.  caract. gén.;4000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6233;Foires et expositions;023;Information, communication, publicité;011;Ch.  caract. gén.;129733;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60633;Fournitures de voirie;823;Espaces verts urbains;011;Ch.  caract. gén.;25350;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6236;Catalogues et imprimés;60;Services communs;011;Ch.  caract. gén.;2000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6182;Documentation générale et technique;322;Musées;011;Ch.  caract. gén.;23391;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60611;Eau et assainissement;823;Espaces verts urbains;011;Ch.  caract. gén.;847500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6226;Honoraires;322;Musées;011;Ch.  caract. gén.;13857;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6261;Frais d'affranchissement;33;Action culturelle;011;Ch.  caract. gén.;650;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;023;Information, communication, publicité;011;Ch.  caract. gén.;3395;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6236;Catalogues et imprimés;324;Entretien du partrimoine culturel;011;Ch.  caract. gén.;8000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;024;Ftes et cérémonies;65;Autres ch d'activité;12000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6247;Transports collectifs;048;Autres actions de coopération décentralisée;011;Ch.  caract. gén.;30000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;322;Musées;012;Ch.de pers., frais ass.;43811;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65541;Contributions au fonds de compensation des charges territoriales (établissement public de territoire);524;Autres services;65;Autres ch d'activité;3500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;422;Autres activités pour les jeunes;011;Ch.  caract. gén.;245984;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6228;Divers;524;Autres services;011;Ch.  caract. gén.;66803;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;024;Ftes et cérémonies;012;Ch.de pers., frais ass.;1516;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;213;Classes regroupées;21;Immob. corporelles;378210;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;524;Autres services;011;Ch.  caract. gén.;1500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;022;Administration générale de l'Etat;012;Ch.de pers., frais ass.;1841655;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;024;Ftes et cérémonies;012;Ch.de pers., frais ass.;210616;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;026;Cimetires et pompes funbres;012;Ch.de pers., frais ass.;1960007;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;6745;Subventions de fonctionnement exceptionnelles aux personnes de droit privé;020;Administration générale de la collectivité;67;Ch. execpt.;20000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;752;Revenus des immeubles;72;Aide au secteur locatif;75;Autres prod. d'activité;100000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;72;Aide au secteur locatif;21;Immob. corporelles;25000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2138;Autres constructions;64;Crches et garderies;21;Immob. corporelles;2851559;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;524;Autres services;011;Ch.  caract. gén.;77400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60628;Autres fournitures non stockées;40;Services communs;011;Ch.  caract. gén.;3900;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6261;Frais d'affranchissement;520;Services communs;011;Ch.  caract. gén.;28800;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7478;Participations des autres organismes;520;Services communs;74;Dotations, subv.;8250000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;415;Manifestations sportives;011;Ch.  caract. gén.;530400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;423;Colonies de vacances;011;Ch.  caract. gén.;17050;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;023;Information, communication, publicité;012;Ch.de pers., frais ass.;784296;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6161;Primes d'assurances multirisques;415;Manifestations sportives;011;Ch.  caract. gén.;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;20;Services communs;012;Ch.de pers., frais ass.;10823;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2182;Matériel de transport;423;Colonies de vacances;21;Immob. corporelles;15000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;64;Crches et garderies;012;Ch.de pers., frais ass.;12462625;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60612;Energie - Electricité;020;Administration générale de la collectivité;011;Ch.  caract. gén.;7525300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;022;Administration générale de l'Etat;012;Ch.de pers., frais ass.;391398;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70688;Autres prestations de service;112;Police municipale;70;Prod. des services;3000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;323;Archives;012;Ch.de pers., frais ass.;132490;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;522;Actions en faveur de l'enfance et de l'adolescence;012;Ch.de pers., frais ass.;113686;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;280421;Amortissement des subventions d'équipement versées aux personnes de droit privé - Biens mobiliers matériel et études (O);01;Opération non ventilable;040;;351930;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7363;Impôt sur les spectacles;01;Opérations non ventilables;73;Impôts et taxes;29000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60611;Eau et assainissement;831;Aménagement des eaux;011;Ch.  caract. gén.;2000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60612;Energie - Electricité;831;Aménagement des eaux;011;Ch.  caract. gén.;2000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7062;Redevances et droits des services  caractre culturel;311;Expression musicale, lyrique et chorégraphique;70;Prod. des services;233000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;820;Services communs;011;Ch.  caract. gén.;2400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;422;Autres activités pour les jeunes;011;Ch.  caract. gén.;38000;0
Budget principal VT;Recette;Réel;Investissement;M14V;27;Autres immobilisations financires;2764;Créances sur des particuliers et autres personnes de droit privé;01;Opérations non ventilables;27;Autres immob. fin.;1297200;0
Budget principal VT;Dépense;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;21318;Autres bâtiments publics (O);01;Opération non ventilable;040;;850000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7478;Participations des autres organismes;814;Eclairage public;74;Dotations, subv.;180000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;022;Administration générale de l'Etat;21;Immob. corporelles;27550;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6358;Autres droits;823;Espaces verts urbains;011;Ch.  caract. gén.;29000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);322;Musées;70;Prod. des services;284000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6231;Annonces et insertions;313;Théâtres;011;Ch.  caract. gén.;5000;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1321;Subventions d'équipement non transférables - Etat et établissements nationaux;33;Action culturelle;13;Subventions;1118977;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6231;Annonces et insertions;023;Information, communication, publicité;011;Ch.  caract. gén.;1333736;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;322;Musées;011;Ch.  caract. gén.;17280;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1321;Subventions d'équipement non transférables - Etat et établissements nationaux;324;Entretien du partrimoine culturel;13;Subventions;22941;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;510;Services communs;012;Ch.de pers., frais ass.;9423;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;617;Etudes et reherches;020;Administration générale de la collectivité;011;Ch.  caract. gén.;463380;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;822;Voirie communale et routes;012;Ch.de pers., frais ass.;401000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;422;Autres activités pour les jeunes;21;Immob. corporelles;100000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées  l'apprentissage;211;Ecoles maternelles;012;Ch.de pers., frais ass.;2050;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;024;Ftes et cérémonies;012;Ch.de pers., frais ass.;51850;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6531;Indemnités des maires, adjoints et conseillers;021;Assemblée locale;65;Autres ch d'activité;1537050;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;414;Autres équipements sportifs ou de loisir;21;Immob. corporelles;613500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;211;Ecoles maternelles;012;Ch.de pers., frais ass.;4633240;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70323;Redevance d'occupation du domaine public communal;020;Administration générale de la collectivité;70;Prod. des services;505860;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7472;Participations des régions;020;Administration générale de la collectivité;74;Dotations, subv.;4573;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60622;Carburants;423;Colonies de vacances;011;Ch.  caract. gén.;17920;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70631;Redevances et droits des services  caractre sportif;415;Manifestations sportives;70;Prod. des services;900000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;63;Aides  la famille;012;Ch.de pers., frais ass.;79544;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;212;Ecoles primaires;012;Ch.de pers., frais ass.;51807;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;423;Colonies de vacances;011;Ch.  caract. gén.;21000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;823;Espaces verts urbains;012;Ch.de pers., frais ass.;106429;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6358;Autres droits;01;Opérations non ventilables;011;Ch.  caract. gén.;40000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60623;Alimentation;251;Hébergement et restauration scolaire;011;Ch.  caract. gén.;10962200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;01;Opérations non ventilables;012;Ch.de pers., frais ass.;205960;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;64;Crches et garderies;012;Ch.de pers., frais ass.;4839231;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;758;Produits divers de gestion courante;814;Eclairage public;75;Autres prod. d'activité;85000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;33;Action culturelle;65;Autres ch d'activité;7758767;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;91;Foires et marchés;21;Immob. corporelles;359115;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74834;Etat - Compensation au titre des exonérations des taxes foncires;01;Opérations non ventilables;74;Dotations, subv.;729000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60622;Carburants;421;Centres de loisirs;011;Ch.  caract. gén.;1920;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6182;Documentation générale et technique;421;Centres de loisirs;011;Ch.  caract. gén.;950;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6248;Divers;422;Autres activités pour les jeunes;011;Ch.  caract. gén.;3200;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2168;Autres collections et oeuvres d'art;321;Bibliothques et médiathques;21;Immob. corporelles;1337500;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;322;Musées;74;Dotations, subv.;80000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6228;Divers;023;Information, communication, publicité;011;Ch.  caract. gén.;13161;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6257;Réceptions;020;Administration générale de la collectivité;011;Ch.  caract. gén.;108500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;023;Information, communication, publicité;21;Immob. corporelles;28500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;824;Autres opérations d'aménagement urbain;23;Travaux en cours;1980055;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;617;Etudes et reherches;524;Autres services;011;Ch.  caract. gén.;87608;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;510;Services communs;21;Immob. corporelles;43957;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;2051;Concessions et droits similaires;020;Administration générale de la collectivité;20;Immob. incorporelles;3122050;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);524;Autres services;70;Prod. des services;162400;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;2031;Frais d'études;213;Classes regroupées;20;Immob. incorporelles;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;33;Action culturelle;012;Ch.de pers., frais ass.;663919;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6251;Voyages et déplacements;020;Administration générale de la collectivité;011;Ch.  caract. gén.;300000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services  caractre social;64;Crches et garderies;70;Prod. des services;4730188;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;251;Hébergement et restauration scolaire;012;Ch.de pers., frais ass.;21463;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1328;Subventions d'équipement non transférables - Autres;64;Crches et garderies;13;Subventions;902000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;022;Administration générale de l'Etat;012;Ch.de pers., frais ass.;468338;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;251;Hébergement et restauration scolaire;012;Ch.de pers., frais ass.;125405;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;255;Classes de découverte et autres services annexes de l'enseignement;012;Ch.de pers., frais ass.;327202;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;63513;Autres impôts locaux;01;Opérations non ventilables;011;Ch.  caract. gén.;40000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6257;Réceptions;021;Assemblée locale;011;Ch.  caract. gén.;28800;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;023;Information, communication, publicité;012;Ch.de pers., frais ass.;420237;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;121860;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;423;Colonies de vacances;012;Ch.de pers., frais ass.;2581;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;023;Information, communication, publicité;012;Ch.de pers., frais ass.;455756;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;523;Actions en faveur des personnes en difficulté;65;Autres ch d'activité;362880;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6064;Fournitures administratives;323;Archives;011;Ch.  caract. gén.;300;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2168;Autres collections et oeuvres d'art;323;Archives;21;Immob. corporelles;49485;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6458;Cotisations aux autres organismes sociaux;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;91000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;112;Police municipale;011;Ch.  caract. gén.;750000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;524;Autres services;011;Ch.  caract. gén.;1415000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;822;Voirie communale et routes;011;Ch.  caract. gén.;22500;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;704;Travaux;020;Administration générale de la collectivité;70;Prod. des services;2000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6065;Livres, disques, cassettes (bibliothques, médiatques);33;Action culturelle;011;Ch.  caract. gén.;300;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7338;Autres taxes;90;Interventions économiques;73;Impôts et taxes;230000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6241;Transports de biens;048;Autres actions de coopération décentralisée;011;Ch.  caract. gén.;25000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;1130167;0
Budget principal VT;Recette;Réel;Investissement;M14V;024;Produits des cessions d'immobilisations (recettes);24;Produits des cessions d'immobilisations;01;Opération non ventilable;024;;1124745;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;211;Ecoles maternelles;012;Ch.de pers., frais ass.;241771;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;251;Hébergement et restauration scolaire;012;Ch.de pers., frais ass.;20035;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;814;Eclairage public;012;Ch.de pers., frais ass.;19541;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6184;Versement  des organismes de formation;020;Administration générale de la collectivité;011;Ch.  caract. gén.;1980000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;212;Ecoles primaires;012;Ch.de pers., frais ass.;268216;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;510;Services communs;012;Ch.de pers., frais ass.;30889;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60623;Alimentation;020;Administration générale de la collectivité;011;Ch.  caract. gén.;700;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;414;Autres équipements sportifs ou de loisir;011;Ch.  caract. gén.;2592;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;323;Archives;012;Ch.de pers., frais ass.;156810;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6281;Concours divers (cotisations..);522;Actions en faveur de l'enfance et de l'adolescence;011;Ch.  caract. gén.;260;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;849099;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60621;Combustibles;423;Colonies de vacances;011;Ch.  caract. gén.;300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;411;Salles de sports, gymnases;011;Ch.  caract. gén.;880;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;110;Services communs;012;Ch.de pers., frais ass.;121760;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;544006;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;112;Police municipale;012;Ch.de pers., frais ass.;128875;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;422;Autres activités pour les jeunes;012;Ch.de pers., frais ass.;1361439;0
Budget principal VT;Recette;Réel;Investissement;M14V;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;510;Services communs;16;Empr. et dettes ass.;100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;322;Musées;012;Ch.de pers., frais ass.;175215;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;026;Cimetires et pompes funbres;012;Ch.de pers., frais ass.;628085;0
Budget principal VT;Dépense;Réel;Investissement;M14V;10;Dotations, fonds divers et réserves;103;PLAN DE RELANCE FCTVA;01;Opérations non ventilables;10;Dot., fonds div., réserves;5500000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;73111;TAXES FONCIERES ET D HABITATION;01;Opérations non ventilables;73;Impôts et taxes;255000000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61558;Entretien et réparations des autres biens mobiliers;311;Expression musicale, lyrique et chorégraphique;011;Ch.  caract. gén.;47043;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70323;Redevance d'occupation du domaine public communal;822;Voirie communale et routes;70;Prod. des services;3616000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7034;Péage, droit de pesage, mesurage et jaugeage;822;Voirie communale et routes;70;Prod. des services;1000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;40;Services communs;011;Ch.  caract. gén.;151346;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6236;Catalogues et imprimés;61;Services en faveur des personnes agées;011;Ch.  caract. gén.;20300;0
