Entité financière programme;Nomenclature;Nature AP/EPCP;Type mouvement;Section;Code chapitre;Libellé chapitre;Code article;Libellé article;Code fonction;Libellé fonction;Mt Voté BP
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;64;Crèches et garderies;94870
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6331;Versement de transport;822;Voirie communale et routes;28652
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;30;Services communs;5841
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6331;Versement de transport;823;Espaces verts urbains;199998
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;323;Archives;4656
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6247;Transports collectifs;521;Services à caractère social pour handicapés et inadaptés;800
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6251;Voyages et déplacements;311;Expression musicale, lyrique et chorégraphique;75000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6241;Transports de biens;311;Expression musicale, lyrique et chorégraphique;1500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6241;Transports de biens;048;Autres actions de coopération décentralisée;23000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6257;Réceptions;048;Autres actions de coopération décentralisée;130000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6256;Missions;020;Administration générale de la collectivité;206325
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6257;Réceptions;422;Autres activités pour les jeunes;41850
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6244;Transports administratifs;322;Musées;1560
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6248;Divers;423;Colonies de vacances;8500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6257;Réceptions;323;Archives;6000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6261;Frais d'affranchissement;020;Administration générale de la collectivité;820000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;627;Services bancaires et assimilés;422;Autres activités pour les jeunes;500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6281;Concours divers (cotisations..);023;Information, communication, publicité;500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6262;Frais de télécommunications;422;Autres activités pour les jeunes;1200
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;627;Services bancaires et assimilés;026;Cimetières et pompes funèbres;100
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;627;Services bancaires et assimilés;321;Bibliothèques et médiathèques;1500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;627;Services bancaires et assimilés;821;Equipements de voirie;88000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6281;Concours divers (cotisations..);213;Classes regroupées;2000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6281;Concours divers (cotisations..);815;Transports urbains;8500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6257;Réceptions;524;Autres services;10100
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6188;Autres frais divers;311;Expression musicale, lyrique et chorégraphique;2000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;617;Etudes et reherches;020;Administration générale de la collectivité;536000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;616;Primes d'assurance;020;Administration générale de la collectivité;1811268
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6188;Autres frais divers;422;Autres activités pour les jeunes;502300
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6182;Documentation générale et technique;30;Services communs;2708
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;617;Etudes et reherches;833;Préservation du millieu naturel;76000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;617;Etudes et reherches;72;Aide au secteur locatif;40000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;617;Etudes et reherches;33;Action culturelle;80000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6156;Maintenance;823;Espaces verts urbains;40000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6188;Autres frais divers;412;Stades;40000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6236;Catalogues et imprimés;311;Expression musicale, lyrique et chorégraphique;2000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6236;Catalogues et imprimés;822;Voirie communale et routes;1550
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6232;Fêtes et cérémonies;822;Voirie communale et routes;1000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6237;Publications;023;Information, communication, publicité;757418
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6236;Catalogues et imprimés;64;Crèches et garderies;16480
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6236;Catalogues et imprimés;524;Autres services;13950
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6231;Annonces et insertions;322;Musées;378068
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6233;Foires et expositions;322;Musées;143586
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6238;Divers;823;Espaces verts urbains;5000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6238;Divers;510;Services communs;25000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;523;Actions en faveur des personnes en difficulté;532
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;415;Manifestations sportives;172
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;820;Services communs;40783
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;40;Services communs;144513
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6065;Livres, disques, cassettes (bibliothèques, médiatèques);422;Autres activités pour les jeunes;4550
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60632;Fournitures de petit équipement;523;Actions en faveur des personnes en difficulté;5000
Budget principal VT;M14;Dépense;Réel;Investissement;20;Immobilisations incorporelles;2031;Frais d'études;822;Voirie communale et routes;100000
Budget principal VT;M14;Dépense;Réel;Investissement;20;Immobilisations incorporelles;2031;Frais d'études;824;Autres opérations d'aménagement urbain;720000
Budget principal VT;M14;Dépense;Réel;Investissement;20;Immobilisations incorporelles;2031;Frais d'études;831;Aménagement des eaux;27000
Budget principal VT;M14;Dépense;Réel;Investissement;20;Immobilisations incorporelles;2051;Concessions et droits similaires;023;Information, communication, publicité;210000
Budget principal VT;M14;Dépense;Réel;Investissement;204;Subventions d'équipement versées;2041481;Subventions d'equipement versées - Autres communes - Biens mobiliers, matériel et études;048;Autres actions de coopération décentralisée;515000
Budget principal VT;M14;Dépense;Réel;Investissement;204;Subventions d'équipement versées;204182;Subventions d'équipement versées aux autres organismes publics - Bâtiments et installations;72;Aide au secteur locatif;2400000
Budget principal VT;M14;Dépense;Réel;Investissement;204;Subventions d'équipement versées;20421;Subventions d'équipement versées aux personnes de droit privé - Biens mobiliers, matériel et études;832;Actions spécifiques de lutte contre la pollution;45000
Budget principal VT;M14;Dépense;Réel;Investissement;204;Subventions d'équipement versées;20422;Subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations;40;Services communs;125000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2128;Autres agencements et aménagements;412;Stades;3302000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;21318;Autres bâtiments publics;020;Administration générale de la collectivité;1000000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;40;Services communs;187900
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;520;Services communs;325000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;522;Actions en faveur de l'enfance et de l'adolescence;210000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;61;Services en faveur des personnes agées;100000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;21533;Réseaux cablés;020;Administration générale de la collectivité;148750
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;322;Musées;22100
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;411;Salles de sports, gymnases;28600
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;510;Services communs;20000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;831;Aménagement des eaux;20000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2182;Matériel de transport;40;Services communs;61600
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2183;Matériel de bureau et matériel informatique;322;Musées;5000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2184;Mobilier;321;Bibliothèques et médiathèques;170000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2184;Mobilier;322;Musées;67000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;213;Classes regroupées;381500
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;311;Expression musicale, lyrique et chorégraphique;71000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;411;Salles de sports, gymnases;54300
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;510;Services communs;87200
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;524;Autres services;11000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;61;Services en faveur des personnes agées;6000
Budget principal VT;M14;Dépense;Réel;Investissement;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;64;Crèches et garderies;307600
Budget principal VT;M14;Dépense;Réel;Investissement;23;Immobilisations en cours;2313;Constructions en cours;411;Salles de sports, gymnases;1348602
Budget principal VT;M14;Dépense;Réel;Investissement;23;Immobilisations en cours;2313;Constructions en cours;64;Crèches et garderies;3938716
Budget principal VT;M14;Dépense;Réel;Investissement;23;Immobilisations en cours;2313;Constructions en cours;824;Autres opérations d'aménagement urbain;8000000
Budget principal VT;M14;Dépense;Réel;Investissement;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;422;Autres activités pour les jeunes;2900000
Budget principal VT;M14;Dépense;Réel;Investissement;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;64;Crèches et garderies;2022404
Budget principal VT;M14;Dépense;Réel;Investissement;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;822;Voirie communale et routes;3921172
Budget principal VT;M14;Dépense;Réel;Investissement;23;Immobilisations en cours;238;Avances versées à des mandataires sur commandes d'immobilisations corporelles;824;Autres opérations d'aménagement urbain;136880
Budget principal VT;M14;Dépense;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;2135;Installations générales, agencements, aménagements des constructions;01;Opération non ventilable;3050000
Budget principal VT;M14;Recette;Réel;Fonctionnement;013;Atténuations de charges;6459;Remboursements sur charges de sécurité sociale et de prévoyance;020;Administration générale de la collectivité;900000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70322;Droits de stationnement et de location sur le domaine public portuaire et fluvial;831;Aménagement des eaux;65000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70328;Autres droits de stationnement et de location;524;Autres services;10000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7062;Redevances et droits des services à caractère culturel;33;Action culturelle;655000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70631;Redevances et droits des services à caractère sportif;412;Stades;170000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70631;Redevances et droits des services à caractère sportif;414;Autres équipements sportifs ou de loisir;815500
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services à caractère social;422;Autres activités pour les jeunes;4100
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services à caractère social;522;Actions en faveur de l'enfance et de l'adolescence;13000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services à caractère social;64;Crèches et garderies;4396256
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70688;Autres prestations de service;61;Services en faveur des personnes agées;200000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;70878;Remboursement des frais par d'autres redevables;321;Bibliothèques et médiathèques;25000
Budget principal VT;M14;Recette;Réel;Fonctionnement;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);311;Expression musicale, lyrique et chorégraphique;1500
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7336;Droits de place;822;Voirie communale et routes;1597000
Budget principal VT;M14;Recette;Réel;Fonctionnement;73;Impôts et taxes;7338;Autres taxes;414;Autres équipements sportifs ou de loisir;33300
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;7411;Dotation forfaitaire;01;Opération non ventilable;87035517
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;74718;Autres participations de l'Etat;322;Musées;90000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;7473;Participations des Départements;311;Expression musicale, lyrique et chorégraphique;140000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;7478;Participations des autres organismes;520;Services communs;11650000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;7478;Participations des autres organismes;524;Autres services;850468
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;74834;Etat - Compensation au titre des exonérations des taxes foncières;01;Opérations non ventilables;1282000
Budget principal VT;M14;Recette;Réel;Fonctionnement;74;Dotations, subventions et participations;7488;Autres attributions et participations;64;Crèches et garderies;286000
Budget principal VT;M14;Recette;Réel;Fonctionnement;77;Produits exceptionnels;7788;Produits exceptionnels divers;112;Police municipale;580000
Budget principal VT;M14;Recette;Réel;Fonctionnement;77;Produits exceptionnels;7788;Produits exceptionnels divers;831;Aménagement des eaux;30000
Budget principal VT;M14;Recette;Réel;Investissement;13;Subventions d'investissement (reçues);1321;Subventions d'équipement non transférables - Etat et établissements nationaux;822;Voirie communale et routes;1168632
Budget principal VT;M14;Recette;Réel;Investissement;13;Subventions d'investissement (reçues);1328;Subventions d'équipement non transférables - Autres;64;Crèches et garderies;629600
Budget principal VT;M14;Recette;Réel;Investissement;27;Autres immobilisations financières;2762;Créances sur transfert de droits à déduction de T.V.A.;90;Interventions économiques;37421
Budget principal VT;M14;Recette;Réel;Investissement;27;Autres immobilisations financières;27638;Créances sur des collectivités et établissements publics - Autres établissements publics;01;Opérations non ventilables;400000
Budget principal VT;M14;Recette;Ordre;Fonctionnement;042;Opérations d'ordre de transfert entre sections;722;Immobilisations corporelles;01;Opération non ventilable;4000000
Budget principal VT;M14;Recette;Ordre;Investissement;021;Virement de la section de fonctionnement;021;Virement de la section de fonctionnement;01;Opération non ventilable;335014
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;28041481;Amortissement des subventions d'équipement versées aux autres communes - Biens mobiliers, matériel et études;01;Opération non ventilable;12195
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;28041622;Amortissement des subventions d'équipement versées au CCAS - Bâtiments et installations (o);01;Opération non ventilable;29183
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;280422;Amortissement des subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations;01;Opération non ventilable;5499980
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;28158;Amortissements des autres installations, matériel et outillage techniques;01;Opération non ventilable;1861270
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;28183;Amortissements du matériel de bureau et matériel informatique;01;Opération non ventilable;2989651
Budget principal VT;M14;Recette;Ordre;Investissement;040;Opérations d'ordre de transfert entre sections;28184;Amortissements du mobilier;01;Opération non ventilable;2577156
Théâtre Orchestre du Capitole;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60636;Vêtements de travail;313;Théâtres;15000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6355;Taxes et impôts sur les véhicules;020;Administration générale de la collectivité;25000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6354;Droits d'enregistrement et de timbre;020;Administration générale de la collectivité;1458
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6331;Versement de transport;048;Autres actions de coopération décentralisée;166
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6331;Versement de transport;020;Administration générale de la collectivité;536579
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6331;Versement de transport;023;Information, communication, publicité;55751
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6218;Autre personnel extérieur;022;Administration générale de l'Etat;500000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6331;Versement de transport;321;Bibliothèques et médiathèques;195540
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6331;Versement de transport;021;Assemblée locale;7035
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6331;Versement de transport;33;Action culturelle;24600
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6288;Autres services extérieurs;524;Autres services;2800
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6282;Frais de gardiennage (églises, forêts et bois communaux...);33;Action culturelle;85000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;627;Services bancaires et assimilés;311;Expression musicale, lyrique et chorégraphique;100
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;627;Services bancaires et assimilés;020;Administration générale de la collectivité;8000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6288;Autres services extérieurs;020;Administration générale de la collectivité;15000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6281;Concours divers (cotisations..);823;Espaces verts urbains;5000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6262;Frais de télécommunications;423;Colonies de vacances;400
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6281;Concours divers (cotisations..);524;Autres services;10100
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6281;Concours divers (cotisations..);40;Services communs;1620
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6261;Frais d'affranchissement;33;Action culturelle;1150
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6281;Concours divers (cotisations..);322;Musées;17650
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6135;Locations mobilières;255;Classes de découverte et autres services annexes de l'enseignement;2000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6135;Locations mobilières;522;Actions en faveur de l'enfance et de l'adolescence;1500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;611;Contrats de prestations de services;61;Services en faveur des personnes agées;79332
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;611;Contrats de prestations de services;023;Information, communication, publicité;1152601
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6135;Locations mobilières;523;Actions en faveur des personnes en difficulté;10000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6135;Locations mobilières;020;Administration générale de la collectivité;1300220
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6228;Divers;321;Bibliothèques et médiathèques;110800
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6231;Annonces et insertions;323;Archives;25000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6228;Divers;64;Crèches et garderies;223480
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6228;Divers;520;Services communs;300
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6228;Divers;524;Autres services;64403
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6228;Divers;322;Musées;311140
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;831;Aménagement des eaux;2373
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;020;Administration générale de la collectivité;20586177
Budget principal VT;M14;Dépense;Réel;Fonctionnement;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;021;Assemblée locale;327866
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61522;Entretien et réparations des bâtiments;020;Administration générale de la collectivité;171000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;614;Charges locatives et de copropriété;824;Autres opérations d'aménagement urbain;89760
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61522;Entretien et réparations des bâtiments;12;Hygiène et salubrité publique;80000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6135;Locations mobilières;048;Autres actions de coopération décentralisée;6000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;611;Contrats de prestations de services;831;Aménagement des eaux;62500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;611;Contrats de prestations de services;423;Colonies de vacances;275000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6135;Locations mobilières;026;Cimetières et pompes funèbres;7500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6132;Locations immobilières;411;Salles de sports, gymnases;4000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;611;Contrats de prestations de services;520;Services communs;1525957
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6132;Locations immobilières;213;Classes regroupées;5000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;523;Actions en faveur des personnes en difficulté;10000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;311;Expression musicale, lyrique et chorégraphique;70000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;414;Autres équipements sportifs ou de loisir;7200
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;023;Information, communication, publicité;5000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61523;Entretien et réparations des voies et réseaux;824;Autres opérations d'aménagement urbain;349000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61551;Entretien et réparations dumatériel roulant;422;Autres activités pour les jeunes;1000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;423;Colonies de vacances;23345
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;33;Action culturelle;4500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61551;Entretien et réparations dumatériel roulant;423;Colonies de vacances;2000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;322;Musées;40500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60632;Fournitures de petit équipement;414;Autres équipements sportifs ou de loisir;15000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60632;Fournitures de petit équipement;422;Autres activités pour les jeunes;82115
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60636;Vêtements de travail;020;Administration générale de la collectivité;729981
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60633;Fournitures de voirie;026;Cimetières et pompes funèbres;4000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60632;Fournitures de petit équipement;213;Classes regroupées;177000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60631;Fournitures d'entretien;822;Voirie communale et routes;10000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60632;Fournitures de petit équipement;421;Centres de loisirs;11040
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60631;Fournitures d'entretien;423;Colonies de vacances;52500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60632;Fournitures de petit équipement;322;Musées;187000
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;60631;Fournitures d'entretien;524;Autres services;900
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6065;Livres, disques, cassettes (bibliothèques, médiatèques);213;Classes regroupées;123500
Budget principal VT;M14;Dépense;Réel;Fonctionnement;011;Charges à caractère général;6065;Livres, disques, cassettes (bibliothèques, médiatèques);421;Centres de loisirs;3250
