Entité financière programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;524;Autres services;012;Ch.de pers., frais ass.;35746;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7064;Taxes de désinfection (service d'hygiène);510;Services communs;70;Prod. des services;20000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7338;Autres taxes;414;Autres équipements sportifs ou de loisir;73;Impôts et taxes;12700;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6241;Transports de biens;423;Colonies de vacances;011;Ch. à caract. gén.;2561;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;64;Crèches et garderies;21;Immob. corporelles;1325000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;520;Services communs;011;Ch. à caract. gén.;5000;0
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;011;Charges à caractère général;6061;Achats non stockés de matière et fournitures - Fournitures non stockables (eau, énergie, ...);6061;Achats non stockés de matière et fournitures - Fournitures non stockables (eau, énergie, ...);011;;10000;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;012;Charges de personnel et frais assimilés;6338;Autres impôt, taxes et versements assimilés sur rémunérations;313;Théâtres;012;Ch.de pers., frais ass.;20000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;91;Foires et marchés;21;Immob. corporelles;466600;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;61522;Entretien et réparations des bâtiments;313;Théâtres;011;Ch. à caract. gén.;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6238;Divers;33;Action culturelle;011;Ch. à caract. gén.;77000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;614;Charges locatives et de copropriété;824;Autres opérations d'aménagement urbain;011;Ch. à caract. gén.;97318;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21318;Autres bâtiments publics;020;Administration générale de la collectivité;21;Immob. corporelles;550000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;322;Musées;21;Immob. corporelles;30850;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21538;Autres réseaux;821;Equipements de voirie;21;Immob. corporelles;140000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;421;Centres de loisirs;011;Ch. à caract. gén.;11200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;324;Entretien du partrimoine culturel;65;Autres ch d'activité;60500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6236;Catalogues et imprimés;321;Bibliothèques et médiathèques;011;Ch. à caract. gén.;11000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;704;Travaux;321;Bibliothèques et médiathèques;70;Prod. des services;1000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60628;Autres fournitures non stockées;823;Espaces verts urbains;011;Ch. à caract. gén.;1000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;823;Espaces verts urbains;011;Ch. à caract. gén.;30400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;823;Espaces verts urbains;011;Ch. à caract. gén.;37000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6231;Annonces et insertions;831;Aménagement des eaux;011;Ch. à caract. gén.;1000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6228;Divers;023;Information, communication, publicité;011;Ch. à caract. gén.;48000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;823;Espaces verts urbains;65;Autres ch d'activité;24000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;414;Autres équipements sportifs ou de loisir;21;Immob. corporelles;525000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;627;Services bancaires et assimilés;33;Action culturelle;011;Ch. à caract. gén.;15;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6532;Frais de mission des maires, adjoints et conseillers;021;Assemblée locale;65;Autres ch d'activité;90000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;01;Opérations non ventilables;012;Ch.de pers., frais ass.;23301;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60623;Alimentation;524;Autres services;011;Ch. à caract. gén.;17000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6068;Autres matières et fournitures;412;Stades;011;Ch. à caract. gén.;21000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;423;Colonies de vacances;011;Ch. à caract. gén.;95370;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;524;Autres services;012;Ch.de pers., frais ass.;333555;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;021;Assemblée locale;012;Ch.de pers., frais ass.;12218;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;423;Colonies de vacances;011;Ch. à caract. gén.;21000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70878;Remboursement des frais par d'autres redevables;321;Bibliothèques et médiathèques;70;Prod. des services;30000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;822;Voirie communale et routes;012;Ch.de pers., frais ass.;25415;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;322;Musées;012;Ch.de pers., frais ass.;87901;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;024;Fêtes et cérémonies;012;Ch.de pers., frais ass.;1006;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;2111;Terrains nus (O);01;Opération non ventilable;040;;0;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;281561;Amortissements du matériel roulant d'incendie et de défense civile;01;Opération non ventilable;28;Amort. des immobilisations;4105;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;72;Aide au secteur locatif;65;Autres ch d'activité;180200;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services à caractère social;524;Autres services;70;Prod. des services;3000;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1323;Subventions d'équipement non transférables - Départements;213;Classes regroupées;13;Subventions;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;112;Police municipale;012;Ch.de pers., frais ass.;3263996;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6065;Livres, disques, cassettes (bibliothèques, médiatèques);520;Services communs;011;Ch. à caract. gén.;400;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;313;Théâtres;012;Ch.de pers., frais ass.;16871594;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services à caractère social;422;Autres activités pour les jeunes;70;Prod. des services;600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;020;Administration générale de la collectivité;011;Ch. à caract. gén.;279513;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6241;Transports de biens;33;Action culturelle;011;Ch. à caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2183;Matériel de bureau et matériel informatique;322;Musées;21;Immob. corporelles;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6064;Fournitures administratives;323;Archives;011;Ch. à caract. gén.;30;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;2804172;Amortissement des subventions d'équipement versées aux autres établissements publics locaux - Bâtiments et installations (O);01;Opération non ventilable;28;Amort. des immobilisations;473028;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6065;Livres, disques, cassettes (bibliothèques, médiatèques);421;Centres de loisirs;011;Ch. à caract. gén.;3400;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;823;Espaces verts urbains;23;Travaux en cours;650000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6237;Publications;321;Bibliothèques et médiathèques;011;Ch. à caract. gén.;56000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2315;Installations, matériel et outillage techniques en cours;824;Autres opérations d'aménagement urbain;23;Travaux en cours;29080905;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6068;Autres matières et fournitures;023;Information, communication, publicité;011;Ch. à caract. gén.;107500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6261;Frais d'affranchissement;30;Services communs;011;Ch. à caract. gén.;100;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;524;Autres services;21;Immob. corporelles;100500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2168;Autres collections et oeuvres d'art;524;Autres services;21;Immob. corporelles;69500;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;60631;Fournitures d'entretien;313;Théâtres;011;Ch. à caract. gén.;17000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6257;Réceptions;313;Théâtres;011;Ch. à caract. gén.;4400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;823;Espaces verts urbains;011;Ch. à caract. gén.;23881;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;63513;Autres impôts locaux;01;Opérations non ventilables;011;Ch. à caract. gén.;40000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;651;Redevances pour concessions, brevets, licences, procédés, logiciels, droits et valeurs similaires;023;Information, communication, publicité;65;Autres ch d'activité;54800;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7338;Autres taxes;90;Interventions économiques;73;Impôts et taxes;230000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;323;Archives;012;Ch.de pers., frais ass.;101156;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);311;Expression musicale, lyrique et chorégraphique;70;Prod. des services;1500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6185;Frais de colloques et de séminaires;020;Administration générale de la collectivité;011;Ch. à caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;70;Services communs;012;Ch.de pers., frais ass.;66435;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;73;Impôts et taxes;7362;Taxes de séjour;95;Aides au tourisme;73;Impôts et taxes;2300000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;014;Atténuations de produits;739118;Autres reversements de fiscalité;95;Aides au tourisme;014;Atténuation de prod;2300000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;62876;Divers - Au GFP de rattachement;01;Opérations non ventilables;011;Ch. à caract. gén.;6692892;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;40;Services communs;21;Immob. corporelles;11700;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;312;Arts plastiques et autres activités artistiques;012;Ch.de pers., frais ass.;9007;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21312;Bâtiments scolaires;211;Ecoles maternelles;21;Immob. corporelles;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;415;Manifestations sportives;65;Autres ch d'activité;31500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;523;Actions en faveur des personnes en difficulté;012;Ch.de pers., frais ass.;1453;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;212;Ecoles primaires;012;Ch.de pers., frais ass.;10144642;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;01;Opérations non ventilables;012;Ch.de pers., frais ass.;322809;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;40;Services communs;012;Ch.de pers., frais ass.;12690524;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6248;Divers;64;Crèches et garderies;011;Ch. à caract. gén.;1015;0
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;011;Charges à caractère général;6068;Achats non stockés de matière et fournitures - Autres matières et fournitures;6068;Achats non stockés de matière et fournitures - Autres matières et fournitures;011;;20000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;114;Autres services de protection civile;011;Ch. à caract. gén.;8000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;16;Emprunts et dettes assimilées;165;Dépôts et cautionnements reçus;01;Opération non ventilable;16;Empr. et dettes ass.;23600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6257;Réceptions;33;Action culturelle;011;Ch. à caract. gén.;105837;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;6714;Bourses et prix;422;Autres activités pour les jeunes;67;Ch. execpt.;40000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60622;Carburants;421;Centres de loisirs;011;Ch. à caract. gén.;2000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;40;Services communs;012;Ch.de pers., frais ass.;2500032;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7788;Produits exceptionnels divers;322;Musées;77;Prod. exceptionnels;30000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65731;Subventions de fonctionnement à l'état;831;Aménagement des eaux;65;Autres ch d'activité;14000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;020;Administration générale de la collectivité;011;Ch. à caract. gén.;225892;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70322;Droits de stationnement et de location sur le domaine public portuaire et fluvial;831;Aménagement des eaux;70;Prod. des services;65000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6358;Autres droits;01;Opérations non ventilables;011;Ch. à caract. gén.;50000;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1321;Subventions d'équipement non transférables - Etat et établissements nationaux;411;Salles de sports, gymnases;13;Subventions;300000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6282;Frais de gardiennage (églises, forêts et bois communaux...);33;Action culturelle;011;Ch. à caract. gén.;35000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;758;Produits divers de gestion courante;814;Eclairage public;75;Autres prod. d'activité;85000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;823;Espaces verts urbains;012;Ch.de pers., frais ass.;151284;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;023;Information, communication, publicité;012;Ch.de pers., frais ass.;10222;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6417;Rémunération des apprentis;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;30222;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;524;Autres services;21;Immob. corporelles;23000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2182;Matériel de transport;020;Administration générale de la collectivité;21;Immob. corporelles;1407000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6247;Transports collectifs;423;Colonies de vacances;011;Ch. à caract. gén.;127439;0
Budget principal VT;Dépense;Réel;Investissement;M14V;204;Subventions d'équipement versées;20422;Subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations;72;Aide au secteur locatif;204;;600000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6256;Missions;020;Administration générale de la collectivité;011;Ch. à caract. gén.;195000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;2051;Concessions et droits similaires;30;Services communs;20;Immob. incorporelles;0;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6531;Indemnités des maires, adjoints et conseillers;021;Assemblée locale;65;Autres ch d'activité;1537050;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;848119;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;413;Piscines;011;Ch. à caract. gén.;1000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;657358;Subventions de fonctionnement versées - Autres groupements;40;Services communs;65;Autres ch d'activité;135180;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;523;Actions en faveur des personnes en difficulté;012;Ch.de pers., frais ass.;2806;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;524;Autres services;012;Ch.de pers., frais ass.;11263;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;312;Arts plastiques et autres activités artistiques;012;Ch.de pers., frais ass.;200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;510;Services communs;011;Ch. à caract. gén.;4000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;511;Dispensaires et autrs établissements sanitaires;012;Ch.de pers., frais ass.;1172;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;5312156;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;211;Ecoles maternelles;012;Ch.de pers., frais ass.;5902750;0
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;67;Charges exceptionnelles;6711;Charges exceptionnelles sur opérations de gestion - Intérêts moratoires et pénalités sur marchés;6711;Charges exceptionnelles sur opérations de gestion - Intérêts moratoires et pénalités sur marchés;67;;100;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services à caractère social;64;Crèches et garderies;70;Prod. des services;4609070;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;520;Services communs;65;Autres ch d'activité;232093;0
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;011;Charges à caractère général;6135;Locations, droits de passage et servitudes diverses - Locations mobilières;6135;Locations, droits de passage et servitudes diverses - Locations mobilières;011;;500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6068;Autres matières et fournitures;64;Crèches et garderies;011;Ch. à caract. gén.;235179;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1323;Subventions d'équipement non transférables - Départements;64;Crèches et garderies;13;Subventions;127436;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;112;Police municipale;011;Ch. à caract. gén.;65988;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;824;Autres opérations d'aménagement urbain;21;Immob. corporelles;2957858;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;63512;Taxes foncières;313;Théâtres;011;Ch. à caract. gén.;55000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;112;Police municipale;21;Immob. corporelles;1639000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6244;Transports administratifs;824;Autres opérations d'aménagement urbain;011;Ch. à caract. gén.;14500;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;2802;Amortissement des frais d'études, d'élaboration, de modifications et de révisions des documents d'urbanisme;01;Opération non ventilable;28;Amort. des immobilisations;1308;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;322;Musées;011;Ch. à caract. gén.;57400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61558;Entretien et réparations des autres biens mobiliers;322;Musées;011;Ch. à caract. gén.;36000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;823;Espaces verts urbains;21;Immob. corporelles;100500;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;758;Produits divers de gestion courante;820;Services communs;75;Autres prod. d'activité;30000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;118022;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;322;Musées;21;Immob. corporelles;59400;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2181;Installations générales, agencements et aménagements divers;322;Musées;21;Immob. corporelles;225000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70311;Concessions dans les cimetières (produit net);026;Cimetières et pompes funèbres;70;Prod. des services;480000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;321;Bibliothèques et médiathèques;65;Autres ch d'activité;1400;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6257;Réceptions;311;Expression musicale, lyrique et chorégraphique;011;Ch. à caract. gén.;43300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6458;Cotisations aux autres organismes sociaux;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;91000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;6714;Bourses et prix;311;Expression musicale, lyrique et chorégraphique;67;Ch. execpt.;13200;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6257;Réceptions;020;Administration générale de la collectivité;011;Ch. à caract. gén.;78500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;40;Services communs;012;Ch.de pers., frais ass.;1187228;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6188;Autres frais divers;022;Administration générale de l'Etat;011;Ch. à caract. gén.;12100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;63;Aides à la famille;012;Ch.de pers., frais ass.;14686;0
Budget principal VT;Dépense;Réel;Investissement;M14V;20;Immobilisations incorporelles;2051;Concessions et droits similaires;020;Administration générale de la collectivité;20;Immob. incorporelles;3013366;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6241;Transports de biens;048;Autres actions de coopération décentralisée;011;Ch. à caract. gén.;25000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;833;Préservation du millieu naturel;65;Autres ch d'activité;58000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;821;Equipements de voirie;011;Ch. à caract. gén.;130000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;6748;Autres subventions de fonctionnement exceptionnelles;524;Autres services;67;Ch. execpt.;570000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60631;Fournitures d'entretien;40;Services communs;011;Ch. à caract. gén.;403196;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;112;Police municipale;012;Ch.de pers., frais ass.;56360;0
